STRUCTURE,STRUCTURE_ID,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,INTL,2022,101724,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2017,16211,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2018,10155,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2019,3740,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2020,1294,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2021,747,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWL,TOT,NAT,2022,5194,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2017,901565,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2018,870594,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2019,817871,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2020,320660,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2021,154325,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,INTL,2022,623213,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,NAT,2017,52550,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,NAT,2018,54867,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,NAT,2019,45040,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,NAT,2020,8410,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,NAT,2021,716,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWS,TOT,NAT,2022,5032,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,INTL,2017,11947789,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,INTL,2018,13249066,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,INTL,2019,15576030,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,INTL,2020,3874316,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,INTL,2021,5213556,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,INTL,2022,11860907,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,NAT,2017,276401,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,NAT,2018,291423,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,AT_LOWW,TOT,NAT,2019,274384,
